first_name,last_name,allergies,dob,parent_name,parent_email,parent_phone
Aaron,Dickson,none,2003-03-12,Leora,leora@mail.com,(690) 673-8857
Cameron,Lowe,none,2003-05-26,Silas,silas@mail.com,(654) 464-4394
Carlo,Shields,eggs,2003-07-21,Asha,asha@mail.com,(465) 817-4508
Miguel,Jacobson,none,2004-01-01,Pauline,pauline@mail.com,(208) 355-3467
Cassius,Levy,none,2004-12-08,Laura,laura@mail.com,(784) 642-7870
Lamont,Snyder,none,2005-07-14,Reginia,reginia@mail.com,(636) 571-8435
Miracle,Howard,shellfish,2005-08-20,Cheree,cheree@mail.com,(341) 510-6745
Natalee,Clements,Marshmallows,2006-07-22,Viola,viola@mail.com,(694) 872-2110
Tyrese,Parks,Latex,2007-10-30,Merilyn,merilyn@mail.com,(591) 464-1218
Mollie,Owen,dairy,2008-02-04,Earlene,earlene@mail.com,(783) 231-1512
Alice,Stanley,none,2008-02-06,Tandra,tandra@mail.com,(569) 427-4576
Tabitha,Day,none,2008-04-21,Ka,ka@mail.com,(340) 331-1652
Julius,James,none,2008-05-05,Elvia,elvia@mail.com,(251) 595-7026
Katrina,Stevens,none,2009-09-11,Lauralee,lauralee@mail.com,(202) 769-6638
Myles,Lawrence,none,2009-09-27,Claire,claire@mail.com,(610) 915-5630
Camille,Mcclure,none,2010-05-26,Erik,erik@mail.com,(569) 533-0463
Summer,Giles,none,2010-09-05,Johanna,johanna@mail.com,(955) 893-7349
Daphne,Calderon,none,2011-06-22,Evonne,evonne@mail.com,(988) 277-1967
Alden,Friedman,none,2011-07-23,Hipolito,hipolito@mail.com,(517) 705-1792
Kamari,Browning,none,2011-08-03,Helen,helen@mail.com,(543) 779-5084
Lindsey,Archer,none,2012-01-10,Lorelei,lorelei@mail.com,(221) 389-4406
Rachel,Norman,none,2012-04-02,Christal,christal@mail.com,(640) 638-2692
Chandler,Rangel,none,2012-12-03,Jacquline,jacquline@mail.com,(879) 675-9474
Riya,Bridges,none,2013-10-13,Shyla,shyla@mail.com,(368) 903-8319
Tara,Warner,none,2013-12-08,Brigette,brigette@mail.com,(453) 414-6317
Dante,Montoya,none,2003-02-07,Laureen,laureen@mail.com,(876) 595-5429
Davis,Simon,none,2003-10-06,Galina,galina@mail.com,(907) 895-4081
Ismael,Fleming,none,2003-12-06,Jaclyn,jaclyn@mail.com,(664) 935-0615
Zechariah,Jennings,eggs,2004-02-04,Marleen,marleen@mail.com,(753) 836-2813
Anaya,Everett,none,2005-03-11,Linnea,linnea@mail.com,(854) 926-0639
Bradyn,Cobb,none,2006-06-03,Kendall,kendall@mail.com,(304) 227-4382
Hector,Rowe,none,2006-07-16,Laurena,laurena@mail.com,(586) 337-1607
Akira,Saunders,none,2006-12-02,Sherell,sherell@mail.com,(489) 918-7257
Andres,Drake,"Gluten, peanuts",2007-01-08,Tanisha,tanisha@mail.com,(611) 236-5490
Jayda,Buchanan,none,2007-01-23,Johnathan,johnathan@mail.com,(755) 497-8898
Laura,Marsh,none,2007-02-06,Un,un@mail.com,(445) 776-4649
Christina,Murillo,none,2008-01-21,Megan,megan@mail.com,(632) 881-9652
Mekhi,Hall,Tree nuts,2008-02-07,Tiffaney,tiffaney@mail.com,(992) 563-3842
Gordon,Butler,none,2008-03-20,Miguel,miguel@mail.com,(453) 527-3859
Gael,Ware,none,2008-03-26,Roscoe,roscoe@mail.com,(591) 404-5730
Ean,Alvarez,"soy, wheat",2008-08-18,Han,han@mail.com,(375) 958-7812
Austin,Kelly,peanuts,2009-07-16,Kerrie,kerrie@mail.com,(819) 900-8888
Zachary,Farrell,Fish,2010-01-16,Rowena,rowena@mail.com,(818) 554-5824
Marlene,Holmes,amoxicillin,2010-06-19,Maryln,maryln@mail.com,(997) 359-7010
Malachi,Sharp,None,2011-03-10,Shaneka,shaneka@mail.com,(346) 396-0908
Gauge,Lambert,bees,2011-04-25,Kimberli,kimberli@mail.com,(216) 419-3670
Matias,Wolfe,none,2011-05-28,Melinda,melinda@mail.com,(468) 965-4870
Ayaan,Cannon,peanuts,2012-07-26,Genna,genna@mail.com,(493) 842-5651
Reilly,Huffman,Dairy,2012-08-09,Horace,horace@mail.com,(415) 712-6143
Crystal,Daniels,Shellfish,2013-12-07,Shasta,shasta@mail.com,(224) 850-6071
Arianna,Esparza,soy,2003-04-10,Thaddeus,thaddeus@mail.com,(626) 874-2676
Carisa,Day,none,2003-07-22,Brandy,brandy@mail.com,(245) 324-5749
Clayton,Kaufman,none,2003-10-02,May,may@mail.com,(388) 796-3592
Hae,Cruz,Dairy,2004-06-03,Meagan,meagan@mail.com,(750) 578-4643
Coleman,Stark,none,2004-07-11,Bruce,bruce@mail.com,(959) 275-2741
Iliana,Wood,none,2005-03-04,Lemuel,lemuel@mail.com,(976) 992-6220
Kimberlee,Lutz,"dairy, latex",2006-01-21,Allie,allie@mail.com,(434) 335-4392
Noe,Kirby,soy,2006-03-29,Haley,haley@mail.com,(917) 969-2019
Rosia,Mayer,"grass, dogs",2006-10-24,Kurt,kurt@mail.com,(661) 204-2260
Judy,Hayden,none,2007-04-18,Major,major@mail.com,(431) 698-8726
Gladis,Russell,amoxicillin,2007-11-25,John,john@mail.com,(772) 205-2544
Raye,Dudley,None,2008-03-03,Michale,michale@mail.com,(327) 946-6978
Crista,Liu,none,2008-10-26,Brendan,brendan@mail.com,(511) 237-5607
Danette,Hamilton,none,2009-10-18,Nathan,nathan@mail.com,(572) 313-5077
Celsa,Yoder,"shellfish, eggs, dairy",2009-12-12,Luisa,luisa@mail.com,(427) 210-8433
Laurena,Vaughn,Severe nut allergy,2010-04-06,Darren,darren@mail.com,(854) 678-6436
Keely,Beltran,none,2010-05-12,Kenny,kenny@mail.com,(224) 639-0735
Jacquline,Wu,none,2010-09-08,Stanford,stanford@mail.com,(524) 674-0271
Benton,Ware,none,2011-01-12,Trinidad,trinidad@mail.com,(372) 200-8764
Meghan,Garcia,none,2011-07-11,Noelle,noelle@mail.com,(980) 571-6753
Darrin,Watts,none,2011-08-17,Kathrine,kathrine@mail.com,(294) 387-3241
Trevor,Paul,none,2012-09-04,Rory,rory@mail.com,(654) 934-5681
Yessenia,Holland,none,2012-09-24,Alta,alta@mail.com,(699) 723-3301
Charity,Horton,none,2013-04-14,Lorna,lorna@mail.com,(381) 968-7789
Demarcus,Mahoney,soy,2013-12-23,Irvin,irvin@mail.com,(718) 973-3111
Mozell,Oneill,none,2003-09-14,Wilbert,wilbert@mail.com,(927) 720-9160
Jake,Madden,none,2003-12-16,Norberto,norberto@mail.com,(819) 283-4844
Jeraldine,Shields,gluten,2004-01-21,Katy,katy@mail.com,(647) 313-3053
Maya,Knox,none,2004-01-26,Samantha,samantha@mail.com,(479) 426-2301
Zona,Summers,none,2004-02-14,Helga,helga@mail.com,(881) 303-7033
Jennie,Rowe,aspirin,2004-07-16,Frankie,frankie@mail.com,(688) 441-5595
Olive,Hopkins,dairy,2005-01-16,Stan,stan@mail.com,(262) 425-0758
Lan,Lopez,none,2005-04-01,Felix,felix@mail.com,(308) 678-1088
Allie,Chang,none,2007-07-12,Abdul,abdul@mail.com,(201) 412-9196
Tiffaney,Fowler,none,2007-11-26,Renato,renato@mail.com,(319) 850-7702
Terrilyn,Norris,soy,2007-12-28,Len,len@mail.com,(676) 612-6607
Louella,Lara,soy,2008-02-23,Cristina,cristina@mail.com,(258) 250-3563
Kareem,Becker,None,2008-08-14,Rickey,rickey@mail.com,(489) 828-8468
Margrett,Chase,none,2008-11-27,Debra,debra@mail.com,(428) 880-6004
Joanna,King,none,2009-01-22,Ismael,ismael@mail.com,(582) 725-0771
Rhonda,Paul,wheat,2009-10-11,Lindsay,lindsay@mail.com,(267) 946-2337
Halina,Holloway,none,2009-10-20,Fernando,fernando@mail.com,(579) 642-1612
Kristen,Barajas,pineapple,2009-12-10,Neil,neil@mail.com,(773) 922-1401
Eneida,Owen,The sun,2010-07-08,Brock,brock@mail.com,(510) 398-6666
Neal,Pineda,"none, diabetic",2010-12-12,Luis,luis@mail.com,(787) 347-2646
Melda,Ashley,none,2011-05-08,Kellie,kellie@mail.com,(801) 821-5203
Florentina,Barrett,none,2011-06-21,Adam,adam@mail.com,(235) 327-1838
Jasmin,Gay,none,2011-10-14,Vaughn,vaughn@mail.com,(874) 662-1138
Josette,Grady,none,2012-08-06,Denis,denis@mail.com,(559) 518-8835
Ossie,Baten,none,2012-09-26,Omar,omar@mail.com,(558) 767-5975
